player,position,goals,assists,clean_sheets,yellow_cards,red_cards,Goals + Assists
Christopher Operi,Forward,0,2,0,0,0,2
Christopher Wooh,Defender,0,0,0,1,0,0
Clech Loufilou,Midfielder,0,0,0,0,0,0
Clesio Bauque,Forward,0,0,0,0,0,0
Clinton Mata,Midfielder,0,0,0,0,0,0
Cristovao Paciencia Mabululo,Forward,0,0,1,0,0,0
Cyriaque Kalou Iriu00e9,Midfielder,0,0,1,0,0,0
Cyriel Dessers,Forward,0,0,0,0,0,0
Daniel Loader,Forward,0,0,1,0,0,0
Darlin Yongwa,Forward,0,0,1,0,0,0
David Carmo,Defender,0,0,1,0,0,0
David Hamansenya,Defender,0,0,0,1,0,0
David Kiki,Defender,0,0,0,0,0,0
David Simukonda,Midfielder,0,0,1,1,0,0
Denis Bouanga,Midfielder,1,0,0,1,0,1
Denis Masinde Onyango,Goalkeeper,0,0,0,1,0,0
Devis Rogers Epassy Mboka,Goalkeeper,0,0,1,0,0,0
Didier Ndong Ibrahim,Midfielder,0,0,0,2,0,0
Divine Lunga,Defender,0,0,0,1,0,0
Djigui Diarra,Goalkeeper,0,0,1,1,0,0
Dylan Batubinsika,Defender,0,0,0,0,0,0
Dylan Bronn,Defender,0,0,0,1,0,0
Ebenezer Akinsanmiro,Midfielder,0,0,0,0,0,0
Eddie Afonso,Defender,0,0,0,0,0,0
Edmilson Dove,Defender,0,0,0,0,0,0
Edmond Tapsoba,Defender,1,0,1,1,0,1
Edo Kayembe,Midfielder,0,0,1,2,0,0
Edouard Mendy,Goalkeeper,0,0,5,1,0,0
Edouard Sombang,Goalkeeper,0,0,0,0,0,0
Edson André Sitoe,Defender,0,0,0,0,0,0
El Bilal Touré,Forward,0,0,0,0,0,0
El Fardou Ben,Forward,0,0,1,1,0,0
El Hadji Malick Diouf,Midfielder,0,0,4,1,0,0
Elia Meschack,Forward,0,0,2,0,0,0
Elias Achouri,Forward,2,0,0,0,0,2
Elias Gaspar Pelembe,Midfielder,0,0,0,0,0,0
Eliesse Ben Seghir,Midfielder,0,0,3,0,0,0
Ellyes Skhiri,Midfielder,1,0,0,0,0,1
Elvis Chipezeze,Goalkeeper,0,0,0,0,0,0
Emilio Nsue López,Defender,1,0,0,0,0,1
Emmanuel Agbadou,Defender,0,0,0,0,0,0
Emmanuel Jalai,Midfielder,0,1,0,0,0,1
Eric Baboué Bocoum,Midfielder,0,0,0,0,0,0
Eric Junior Dina Ebimbe,Midfielder,0,0,1,0,0,0
Ernan Alberto Siluane,Goalkeeper,0,0,0,1,0,0
Evann Guessand,Forward,1,0,1,0,0,1
Faisal Bangal,Forward,1,0,0,1,0,1
Faïz Selemani,Defender,0,0,2,0,0,0
Fares Chaïbi,Forward,1,0,3,0,0,1
Felício Milson,Forward,0,0,0,0,0,0
Ferjani Sassi,Midfielder,0,0,0,0,0,0
Fernando Data Chamboco,Defender,0,0,0,0,0,0
Firas Chaouat,Forward,1,0,0,1,0,1
Fisayo Dele-Bashiru,Defender,0,1,4,0,0,1
Flavien-Enzo Boyomos,Defender,0,0,0,0,0,0
Fodé Doucouré,Defender,0,0,1,0,0,0
Francis Uzoho,Goalkeeper,0,0,0,0,0,0
Francisco Sacalumbo,Forward,0,0,1,1,0,0
Franck Kessie,Midfielder,0,1,2,0,0,1
François Bekale,Midfielder,0,0,0,0,0,0
Frank Magri,Forward,0,0,1,0,0,0
Frank Onyeka,Midfielder,0,0,3,1,0,0
Frankie Musonda,Midfielder,0,0,0,0,0,0
Gael Joel Akogo Esono Nchama,Midfielder,0,0,0,1,0,0
Gaël Kakuta,Midfielder,2,1,1,0,0,3
Gaoussou Diakité,Midfielder,0,0,0,0,0,0
Gaoussou Kyassou Diarra,Midfielder,0,0,1,0,0,0
Gape Mohutsiwa,Midfielder,0,0,0,1,0,0
Gedeon Kalulu,Defender,0,0,1,0,0,0
Geny Catamo,Midfielder,2,1,0,0,0,3
Georges-Kevin N'Koudou Mbida,Midfielder,0,0,0,0,0,0
Georgi Minoungou,Midfielder,1,0,1,0,0,1
Gerald Takwara,Forward,0,0,0,0,0,0
Gerzino Nyamsi,Defender,0,0,1,1,0,0
Ghislain Konan,Defender,1,1,2,0,0,2
Gift Prosper Mphand,Midfielder,0,0,0,0,0,0
Gilbert Baruti,Midfielder,0,0,0,0,0,0
Gildo Lourenço Vilanculos,Midfielder,0,0,0,0,0,0
Gislain Ahoudo,Midfielder,0,0,0,0,0,0
Godknows Murwira,Defender,0,0,0,1,0,0
Goitseone Phoko,Goalkeeper,0,0,0,0,0,0
Guela Doué,Defender,1,0,2,0,0,1
Guelor Kanga,Midfielder,1,0,0,0,0,1
Guima,Midfielder,0,0,0,0,0,0
Gustavo Fabrice Sangaré,Midfielder,0,0,0,1,0,0
Habib Diallo,Forward,1,0,2,1,0,1
Haji Mnoga,Midfielder,0,0,0,1,0,0
Hamari Traoré,Defender,0,0,0,1,0,0
Hamdi Fathi,Midfielder,0,0,3,1,0,0
Hannibal Mejbri,Midfielder,0,2,0,1,0,2
Hassane Imourane,Midfielder,0,0,1,0,0,0
Herve Koffi,Goalkeeper,0,0,1,0,0,0
Hicham Boudaoui,Midfielder,0,1,3,1,0,1
Hilary Panuel Mukundane,Defender,0,0,0,0,0,0
Himad Abdelli,Midfielder,0,0,2,0,0,0
Hossam Abdelmaguid,Defender,0,0,1,2,0,0
Hugo Miguel Barreto Henriques Marques,Goalkeeper,0,0,1,0,0,0
Ibán Salvador Edu,Forward,0,0,0,2,0,0
Ibrahim Adel,Midfielder,0,0,2,1,0,0
Ibrahim Blati Touré,Midfielder,0,0,1,0,0,0
Ibrahim Hamad,Defender,0,0,0,2,0,0
Ibrahim Maza,Midfielder,2,1,3,0,0,3
Ibrahim Mbaye,Midfielder,1,0,4,1,0,1
Ibrahim Sangaré,Midfielder,0,0,2,1,0,0
Ibrahima Sissoko,Midfielder,0,0,0,1,0,0
Iddy Seleman Nado,Midfielder,0,0,0,0,0,0
Idrissa Gueye,Midfielder,0,1,5,0,0,1
Igoh Ogbu,Defender,0,0,2,1,0,0
Ilan Kebbal,Midfielder,0,0,0,0,0,0
Ilias Akhomach,Forward,0,0,2,0,0,0
Iliman Ndiaye,Forward,1,0,5,0,0,1
Infren Da Conceição David Matola,Midfielder,0,1,0,0,0,1
Isaac Muleme,Defender,0,0,0,0,0,0
Isheanasu Mauchi,Midfielder,0,0,0,0,0,0
Ismael Bennacer,Midfielder,0,0,3,1,0,0
Ismaël Boura,Defender,0,0,2,1,0,0
Ismael Diarra Diawara,Goalkeeper,0,0,0,0,0,0
Ismaël Gharbi,Midfielder,1,0,0,0,0,1
Ismael Saibari,Forward,1,0,5,1,0,1
Ismahila Ouédraogo,Midfielder,0,0,0,1,0,0
Ismail Jakobs,Defender,0,1,1,1,0,1
Ismaïla Sarr,Forward,0,1,3,1,0,1
Issa Kabore,Defender,0,0,0,0,0,0
Issoufou Dayo,Defender,0,0,1,0,0,0
Ivan Ahimbisibwe,Midfielder,0,0,0,0,0,0
Jacinto Muondo Dala,Forward,1,0,1,0,0,1
Jack Lahne,Forward,0,0,1,1,0,0
Jamal Omar Salim Magoola,Goalkeeper,0,0,0,1,1,0
Jannick Buyla Sam,Midfielder,0,0,0,0,0,0
Jaouen Hadjam,Defender,0,0,2,0,0,0
Javier Mum Boho,Midfielder,0,0,0,0,0,0
Jawad El Yamiq,Defender,0,0,1,1,0,0
Jean Michaël Seri,Midfielder,0,0,1,0,0,0
Jean Onana,Midfielder,0,0,1,0,0,0
Jean-Philippe Gbamin,Midfielder,0,0,0,0,0,0
Jean-Philippe Krasso,Forward,1,0,1,0,0,1
Jérémy Oyono Omva Torque,Midfielder,0,0,0,0,0,0
Jesús Owono,Goalkeeper,0,0,0,0,0,0
Jim Allevinah,Midfielder,0,0,0,0,0,0
João José Jone Bonde,Midfielder,0,0,0,0,0,0
Jodel Dossou,Forward,1,0,0,1,0,1
Johann Obiang,Defender,0,0,0,0,0,0
John Otenyal Khames Robia,Forward,0,0,1,0,0,0
Jonah Fabisch,Midfielder,0,1,0,1,0,1
Jonathan Buatu Mananga,Defender,0,0,0,0,0,0
Jordan Obita,Defender,0,0,0,0,0,0
Joris Kayembe,Midfielder,0,0,2,0,0,0
José Antonio Miranda Boacho,Midfielder,0,0,0,1,0,0
José Machín,Midfielder,0,0,0,1,0,0
Joseph Liteta,Midfielder,0,0,0,0,0,0
Joseph Sabobo Banda,Midfielder,0,0,1,0,0,0
Jude Ssemugabi,Midfielder,0,0,0,0,0,0
Junior Fashion Sakala,Forward,0,0,1,0,0,0
Kabaso Chongo,Defender,0,0,0,1,0,0
Kabelo Dambe,Goalkeeper,0,0,0,0,0,0
Kabelo Seakanyeng,Midfielder,0,0,0,1,0,0
Kalidou Koulibaly,Defender,0,0,4,3,1,0
Kamory Doumbia,Midfielder,0,0,1,1,0,0
Kassim M'Dahoma,Defender,0,0,0,0,0,0
Keagile Kgosipula,Goalkeeper,0,0,0,0,0,0
Kelvin Pius John,Forward,0,0,0,0,0,0
Kennedy Musonda,Forward,0,0,1,0,0,0
Kenneth Semakula,Defender,0,0,0,1,0,0
Keyns Sully Amido Abdala,Midfielder,0,0,0,0,0,0
Khaled Sobhy,Defender,0,0,2,0,0,0
Khalid Aucho,Midfielder,0,0,0,0,0,0
Kilian Nikiema,Goalkeeper,0,0,1,0,0,0
Kimiss Rabelina Zavala,Goalkeeper,0,0,0,0,0,0
Kings Kangwa,Midfielder,0,0,1,1,1,0
Knowledge Musona,Forward,1,0,0,0,0,1
Kossonou Odilon,Defender,0,0,2,0,0,0
Krepin Diatta,Forward,0,1,4,1,0,1
Lameck Banda,Forward,0,0,1,0,0,0
Lamine Camara,Midfielder,0,0,5,2,0,0
Lassana Coulibaly,Midfielder,0,0,1,0,0,0
Lassina Traore,Forward,1,0,1,0,0,1
Lassine Sinayoko,Forward,3,0,1,1,0,3
Lebogang Ditsele,Midfielder,0,0,0,1,0,0
Lionel Mpasi-Nzau,Goalkeeper,0,0,2,0,0,0
Lorenzo Zúñiga Owono,Forward,0,0,0,0,0,0
Losika Ratshukudu,Forward,0,0,0,0,0,0
Loyce Marius Mbaba,Midfielder,0,0,0,0,0,0
Lubamba Musonda,Midfielder,0,0,1,0,0,0
Luca Zinedine Zidane,Goalkeeper,0,0,3,0,0,0
Luis Miguel Nlavo Asue,Forward,0,0,0,0,0,0
Lyle Foster,Forward,2,2,0,2,0,4
Macauley Bonne,Forward,0,0,0,0,0,0
Mahamadou Doumbia,Midfielder,0,0,1,2,0,0
Mahamadou Nagida,Defender,0,1,0,0,0,1
Mahmoud Trezeguet,Midfielder,0,0,2,1,0,0
Malick Evouna,Forward,0,0,0,0,0,0
Mamadou Camara,Forward,0,0,1,0,0,0
Mamadou Fofana,Defender,0,0,0,0,0,0
Mamadou Lamine Camara,Midfielder,0,0,0,0,0,0
Mamadou Samassa,Goalkeeper,0,0,0,0,0,0
Mamadou Sangare,Midfielder,0,0,1,0,0,0
Mamadou Sarr,Defender,0,0,3,1,0,0
Manuel Benson,Forward,0,0,1,0,0,0
Manuel Cafumana,Midfielder,1,0,1,1,0,1
Manuel David Afonso,Midfielder,0,0,1,0,0,0
Manuel Kambala,Midfielder,0,0,0,0,0,0
Manuel Keliano,Midfielder,0,0,0,0,0,0
Manuel Sapunga,Goalkeeper,0,0,0,0,0,0
Maphosa Modiba,Defender,1,1,0,2,0,2
Mário Balbudia,Midfielder,0,0,0,0,0,0
Mario Lemina,Midfielder,0,0,0,0,0,0
Martin Mapisa,Goalkeeper,0,0,0,0,0,0
Marvelous Nakamba,Midfielder,0,0,0,1,0,0
Marvin José Anieboh Pallaruelo,Defender,1,0,0,1,0,1
Marwan Attia,Midfielder,1,1,1,2,0,2
Mathews Banda,Midfielder,0,1,1,0,0,1
Mattéo Ahlinvi,Midfielder,0,0,0,1,0,0
Matthieu Luka Epolo,Midfielder,0,0,0,0,0,0
Mazin Mohamedein Alnour Mohamed,Defender,0,0,0,0,0,0
Mbala N'Zola,Forward,0,0,1,0,0,0
Mehdi Harrar,Goalkeeper,0,0,0,0,0,0
Melque Alexandre,Forward,0,0,0,0,0,0
Melvyn Lorenzen,Forward,0,0,0,0,0,0
Michel Ange Balikwisha,Forward,0,0,1,0,0,0
Mick Kila Onfia,Midfielder,0,0,0,0,0,0
Mohamed Abdel Raman Yousif,Forward,0,0,1,0,0,0
Mohamed Ali Ben Romdhane,Midfielder,0,0,0,1,0,0
Mohamed Amine Tougai,Defender,0,0,0,0,0,0
Mohamed Amoura,Midfielder,0,1,3,2,0,1
Mohamed Belhaj Mahmoud,Defender,0,0,0,1,0,0
Mohamed Ben Ali,Midfielder,0,0,0,0,0,0
Mohamed Camara,Midfielder,0,0,1,1,0,0
Mohamed Chibi,Defender,0,0,1,0,0,0
Mohamed Eisa,Forward,0,0,1,0,0,0
Mohamed El Shenawy,Goalkeeper,0,0,1,1,0,0
Mohamed Hamdy Sharaf,Defender,0,1,1,0,0,1
Mohamed Hany Eldemerdash,Defender,0,1,2,2,1,1
Mohamed Ismail,Midfielder,0,0,1,0,0,0
Mohamed Kesra Hakeem,Defender,0,0,0,0,0,0
Mohamed Saeed Ahmed,Defender,0,0,1,1,0,0
Mohamed Salah,Forward,4,1,2,0,0,5
Mohamed Sobhi,Goalkeeper,0,0,0,0,0,0
Mohamed Tijani,Defender,0,0,1,1,0,0
Mohamed Zougrana,Midfielder,0,0,1,1,0,0
Mohanad Mostafa Lasheen,Midfielder,0,0,3,0,0,0
Mohau Nkota,Midfielder,0,0,0,0,0,0
Monged Abuzaid,Goalkeeper,0,0,1,1,0,0
Monsef Bakrar,Forward,0,0,0,0,0,0
Montassar Talbi,Defender,1,0,0,0,0,1
Monty Agang Enosa,Midfielder,0,0,0,0,0,0
