player,position,goals,assists,clean_sheets,yellow_cards,red_cards,Goals + Assists
Stephen Mukwala,Forward,0,0,0,0,0,0
Steve Kapuadi,Defender,0,0,0,0,0,0
Steve Mounié,Forward,0,1,1,1,0,1
Stopilla Sunzu,Defender,0,0,0,0,0,0
Suleiman Mwalim Mussa,Midfielder,0,0,0,0,0,0
Tamimou Ouorou,Midfielder,0,0,1,1,0,0
Tapuwanashe Daniel Chakuchichi,Forward,0,0,0,0,0,0
Tarryn Allarakhia,Forward,0,0,0,0,0,0
Tawanda Jethro Maswanhise,Midfielder,1,0,0,0,0,1
Tebogo Kopelang,Midfielder,0,0,0,0,0,0
Teboho Mokoena,Midfielder,0,0,0,2,0,0
Teddy Averlant,Midfielder,0,0,0,0,0,0
Teenage Hadebe,Defender,0,0,0,0,0,0
Thabang Sesinyi,Midfielder,0,0,0,0,0,0
Thabo Leinanyane,Defender,0,0,0,0,0,0
Thalente Mbatha,Midfielder,0,0,0,0,0,0
Thatayaone Ditlhokwe,Defender,0,0,0,0,0,0
Thatayaone Kgamanyane,Midfielder,0,0,0,0,0,0
Théo Bongonda,Forward,1,1,2,0,0,2
Tholo Thabang Matuludi,Midfielder,0,0,0,0,0,0
Timothy Fayulu,Goalkeeper,0,0,0,0,0,0
Toby Sibbick,Defender,0,0,0,0,0,0
Tochukwu Nadi,Midfielder,0,0,0,0,0,0
Tosin Aiyegun,Forward,0,0,1,1,0,0
Tresford Lawrence Mulenga,Goalkeeper,0,0,0,0,0,0
Tumisang Orebonye,Forward,0,0,0,0,0,0
Uche Ikpeazu,Forward,1,0,0,2,0,1
Vakoun Issouf Bayo,Forward,0,0,1,0,0,0
Victor Osimhen,Forward,4,2,3,1,0,6
Walieldin Khidir Safour Daiyeen,Midfielder,0,1,1,1,0,1
Washington Arubi,Goalkeeper,0,0,0,0,0,0
Wilfred Ndidi,Midfielder,1,0,2,2,0,1
Wilfried Zaha,Forward,0,1,1,0,0,1
Willard Mwanza,Midfielder,0,0,1,0,0,0
Willy Boly,Defender,0,0,0,0,0,0
Wilson Chisala,Midfielder,0,0,1,0,0,0
Wilson Nangu,Midfielder,0,0,0,0,0,0
Witiness Chimoio João Quembo,Defender,0,1,0,1,0,1
Woyo Coulibaly,Defender,0,0,0,2,1,0
Yacine Bourhane,Midfielder,0,0,2,0,0,0
Yahia Fofana,Goalkeeper,0,0,2,0,0,0
Yan Diomande,Forward,1,0,2,1,0,1
Yan Valery,Defender,0,0,0,1,0,0
Yannick Pandor,Goalkeeper,0,0,2,0,0,0
Yannis kari,Defender,0,0,2,1,0,0
Yannis M'Bemba,Defender,0,0,0,0,0,0
Yaser Awad Boshara,Midfielder,0,0,0,0,0,0
Yasir Mozamil,Midfielder,0,0,1,0,0,0
Yasser Ahmed Ibrahim El Hanafi,Defender,1,0,2,1,0,1
Yassine Bounou,Goalkeeper,0,0,5,0,0,0
Yassine Meriah,Midfielder,0,0,0,1,0,0
Yehvann Diouf,Goalkeeper,0,0,0,0,0,0
Yohan Roche,Defender,1,0,1,0,0,1
Youcef Atal,Defender,0,0,0,0,0,0
Youssef Belammari,Midfielder,0,0,0,0,0,0
Youssef En-Nesyri,Forward,0,0,5,1,0,0
Youssouf M'Changama,Midfielder,0,0,2,0,0,0
Yusuph Ally Kagoma,Midfielder,0,0,0,0,0,0
Yves Bissouma,Midfielder,0,0,1,3,1,0
Zaïd Amir,Forward,0,0,0,0,0,0
Zaidu Sanusi,Defender,0,0,0,0,0,0
Zaydou Youssouf,Midfielder,0,0,2,0,0,0
Zineddine Belaïd,Defender,1,0,2,0,0,1
Zito Luvumbo,Forward,0,0,1,1,0,0
Zizo,Midfielder,0,1,3,0,0,1
Zuberi Foba Masudi,Midfielder,0,0,0,0,0,0
