date,attendance,team1,team2,Game Week,team1_goals,team2_goals,total_goals,team1_shots,team2_shots,team1_shots_on_target,team2_shots_on_target,team1_shots_off_target,team2_shots_off_target,team1_corners,team2_corners,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_fouls,team2_fouls,team1_possession,team2_possession,team1_XG,team2_XG,stadium_name
2025-12-31,13093,Mozambique,Cameroon,Matchday 3,1,2,3,10,19,2,6,8,13,2,8,0,3,0,0,7,20,52,48,0.9,1.93,Stade d'Agadir
2026-01-03,30045,Senegal,Sudan,Knockout Stage,3,1,4,14,9,9,3,5,6,7,4,2,2,0,0,22,17,67,33,1.95,0.97,Grand Stade de Tanger
2026-01-03,41982,Mali,Tunisia,Knockout Stage,1,1,2,8,13,1,4,7,9,4,11,4,6,1,0,12,29,28,72,0.72,1.53,Stade Mohamed V
2026-01-04,63894,Morocco,Tanzania,Knockout Stage,1,0,1,12,4,4,1,8,3,4,0,1,5,0,0,12,19,71,29,1.58,0.43,Stade Moulay Abdallah
2026-01-04,14127,South Africa,Cameroon,Knockout Stage,1,2,3,18,10,4,4,14,6,6,3,5,2,0,0,14,13,67,33,1.76,1.09,Stade Al Medina
2026-01-05,20191,Egypt,Benin,Knockout Stage,3,1,4,12,8,7,3,5,5,5,5,4,4,0,0,15,19,55,45,1.56,0.91,Stade d'Agadir
2026-01-05,14593,Nigeria,Mozambique,Knockout Stage,4,0,4,22,2,9,0,13,2,5,0,3,1,0,0,22,13,61,39,2.44,0.22,Complexe Sportif de Fès
2026-01-06,18837,Algeria,Congo DR,Knockout Stage,1,0,1,12,6,6,2,6,4,4,6,3,2,0,0,17,24,57,43,1.49,0.75,Stade Prince Moulay Al Hassan
2026-01-06,24019,Ivory Coast,Burkina,Knockout Stage,3,0,3,21,8,4,2,17,6,5,2,2,1,0,0,20,17,58,42,1.93,0.9,Stade de Marrakech
2026-01-09,32385,Mali,Senegal,Knockout Stage,0,1,1,8,19,2,8,6,11,5,7,2,5,1,0,8,14,35,65,0.83,2.18,Grand Stade de Tanger
2026-01-09,64178,Cameroon,Morocco,Knockout Stage,0,2,2,5,9,0,3,5,6,4,7,2,2,0,0,19,24,59,41,0.61,1.01,Stade Moulay Abdallah
2026-01-10,32452,Algeria,Nigeria,Knockout Stage,0,2,2,3,13,0,5,3,8,2,4,5,3,0,0,23,14,43,57,0.39,1.56,Stade de Marrakech
2026-01-10,31213,Egypt,Ivory Coast,Knockout Stage,3,2,5,6,13,4,4,2,9,3,7,2,0,0,0,10,15,28,72,0.75,1.61,Stade d'Agadir
2026-01-14,52079,Senegal,Egypt,Knockout Stage,1,0,1,12,3,4,1,8,2,6,1,2,1,0,0,10,12,63,37,1.52,0.47,Grand Stade de Tanger
2026-01-14,65458,Nigeria,Morocco,Knockout Stage,0,0,0,2,16,1,5,1,11,1,5,2,0,0,0,29,22,51,49,0.38,1.78,Stade Moulay Abdallah
2026-01-17,38113,Egypt,Nigeria,Knockout Stage,0,0,0,5,4,1,4,4,0,2,4,0,3,0,0,15,16,53,47,0.63,0.96,Stade Mohamed V
2026-01-18,66526,Senegal,Morocco,Knockout Stage,1,0,1,14,21,7,4,7,17,8,10,5,2,0,0,25,17,50,50,1.63,1.87,Stade Moulay Abdallah
